Label,bloods Score,crips Score,gds Score,hoovers Score,kings Score,stones Score,trinis Score,vls Score
kings,0.496717724,0.271334792,0.048140044,0.06345733,0.048140044,0.028446389,0.030634573,0.013129103
kings,0.033106134,0.818889971,0.022395326,0.104186952,0.005842259,0.004868549,0.00194742,0.008763389
kings,0.488888889,0.288888889,0.022222222,0.017777778,0.066666667,0.031111111,0.062222222,0.022222222
kings,0.664835165,0.032967033,0.035714286,0.06043956,0.043956044,0.085164835,0.027472527,0.049450549
kings,0.210268949,0.085574572,0.06601467,0.136919315,0.08801956,0.078239609,0.026894866,0.30806846
crips,0.017402945,0.88085676,0.020080321,0.058902276,0.001338688,0.005354752,0.002677376,0.013386881
vls,0.664835165,0.035714286,0.035714286,0.065934066,0.043956044,0.087912088,0.021978022,0.043956044
crips,0.023139462,0.902230561,0.009172399,0.024598708,0.036064207,0.001250782,0.001250782,0.0022931
crips,0.022608332,0.90161189,0.009420138,0.025120368,0.036424534,0.001465355,0.001256018,0.002093364
crips,0.02293578,0.901584654,0.008965805,0.025229358,0.036488741,0.001251043,0.00145955,0.002085071
crips,0.022740639,0.893158204,0.0088218,0.035287199,0.035091159,0.00156832,0.00117624,0.00215644
crips,0.023351648,0.891287284,0.008830455,0.03610675,0.035321821,0.001373626,0.001373626,0.002354788
crips,0.023546572,0.901646176,0.008543447,0.025005209,0.036257554,0.001458637,0.001458637,0.002083767
crips,0.023178117,0.900814366,0.008561286,0.024848611,0.037377323,0.001461683,0.001252871,0.002505742
crips,0.022703603,0.902103728,0.009164757,0.024578213,0.036659029,0.00124974,0.00124974,0.002291189
crips,0.023086522,0.901830283,0.008943428,0.024750416,0.036605657,0.00124792,0.00124792,0.002287854
crips,0.022314911,0.903232534,0.009176225,0.024400417,0.03649635,0.001042753,0.001251303,0.002085506
crips,0.023139462,0.902230561,0.009172399,0.024598708,0.036064207,0.001250782,0.001250782,0.0022931
crips,0.022608332,0.90161189,0.009420138,0.025120368,0.036424534,0.001465355,0.001256018,0.002093364
crips,0.02293578,0.901584654,0.008965805,0.025229358,0.036488741,0.001251043,0.00145955,0.002085071
crips,0.022740639,0.893158204,0.0088218,0.035287199,0.035091159,0.00156832,0.00117624,0.00215644
crips,0.023351648,0.891287284,0.008830455,0.03610675,0.035321821,0.001373626,0.001373626,0.002354788
crips,0.023546572,0.901646176,0.008543447,0.025005209,0.036257554,0.001458637,0.001458637,0.002083767
crips,0.023178117,0.900814366,0.008561286,0.024848611,0.037377323,0.001461683,0.001252871,0.002505742
crips,0.022703603,0.902103728,0.009164757,0.024578213,0.036659029,0.00124974,0.00124974,0.002291189
crips,0.089160839,0.627622378,0.027972028,0.234265734,0.012237762,0.005244755,0,0.003496503
kings,0.869942197,0.014450867,0.01734104,0.014450867,0.034682081,0.028901734,0.002890173,0.01734104
kings,0.400943396,0.056603774,0.018867925,0.014150943,0.061320755,0.033018868,0,0.41509434
kings,0.022608332,0.90161189,0.009420138,0.025120368,0.036424534,0.001465355,0.001256018,0.002093364
kings,0.02293578,0.901584654,0.008965805,0.025229358,0.036488741,0.001251043,0.00145955,0.002085071
kings,0.022740639,0.893158204,0.0088218,0.035287199,0.035091159,0.00156832,0.00117624,0.00215644
